ID,long,lat,LOCALIDAD,MUNICIPIO,ntl
2233,-89.54354771357544,20.51747387536867,citincabchen,chapab,1.2354141473770142
2234,-89.53693117709864,20.522513516443855,citincabchen,chapab,2.41374135017395
2235,-89.54323826489009,20.51742302543452,citincabchen,chapab,1.2354141473770142
2236,-87.94383772937825,20.660132159772434,chemax,chemax,9.729532241821289
2237,-87.93828118501288,20.65417480533472,chemax,chemax,15.577101707458496
2238,-87.86209495620794,20.718889653368294,x-catzin (catzin),chemax,1.3119803667068481
2239,-87.74771788634267,20.79710474021013,cocoyol,chemax,0.2735985219478607
2240,-87.82400777967713,20.741701742067335,cholul,chemax,0.2776740491390228
2241,-87.95934491336675,20.57036504624698,chulutan,chemax,1.1041063070297241
2242,-87.83577458251109,20.887322582040888,kuxeb,chemax,0.46842604875564575
2243,-87.84246882264515,20.90159624026698,mucel,chemax,0.7989665865898132
2244,-87.73368949663046,20.92581128845392,san juan chen,chemax,1.9813803434371948
2245,-87.7834952778692,20.947640351290786,san pedro chemax,chemax,0.8089421391487122
2246,-87.91872232132009,20.819522408531377,san roman,chemax,2.098665237426758
2247,-87.83892463434813,20.75341531985205,santa clara,chemax,0.7236577868461609
2248,-87.953039671185,20.79021615391153,santa cruz,chemax,0.2212991714477539
2249,-87.91517911270978,20.824869491610926,sisbichen,chemax,1.8807374238967896
2250,-88.00136960191224,20.67999517323072,kanto,chemax,0.9992433190345764
2251,-88.00782536288114,20.77147543288711,uspibil,chemax,2.770127058029175
2252,-88.01574897498612,20.675118458132246,xalau (x-alau),chemax,0.5162608623504639
2253,-87.6684516,20.8589236,x-can,chemax,NA
2254,-87.66909303737704,20.858201352166144,x-can,chemax,8.577388763427734
2255,-87.99445832851617,20.766376324285968,chechmil,chemax,0.4291600286960602
2256,-87.86677501870793,20.71828599233757,pabalam,chemax,4.216191291809082
2257,-87.92014745443726,20.49996678954421,lol-be,chemax,0.6347146034240723
2258,-87.71411069171481,20.787265930562143,buenavista,chemax,0.4272502362728119
2259,-87.92947578973359,20.641571782945608,konsahcab,chemax,0.4627712368965149
2260,-87.83637058739082,20.754217498306907,san jose chahuay,chemax,0.7236577868461609
2261,-87.72450904360298,20.927775567190736,xim-ha,chemax,0.17126353085041046
2262,-88.006037297867735,20.698001851760495,hidalgo y cortez,chemax,0.38565492630004883
2263,-87.93642147236658,20.645157909067763,punta laguna,chemax,4.156720161437988
2264,-87.81190664037811,20.696413015538077,hoteoch,chemax,0.5861444473266602
2265,-88.00286855049156,20.679316155117032,tulin,chemax,4.64389705657959
2266,-87.66864721352313,20.853129925266856,felipe carrillo puerto,chemax,6.145863056182861
2267,-87.75130870020813,20.787492298602263,estrella,chemax,0.9302296042442322
2268,-87.83074874603717,20.73761939222492,guadalupe,chemax,1.583436369895935
2269,-87.85687834415872,20.715266709242663,x-catzin (catzin),chemax,0.8432226777076721
2270,-87.75524144156562,20.79670642807457,cholul,chemax,0.6097724437713623
2271,-87.93233717907125,20.55131156067767,chulutan,chemax,2.3043899536132812
2272,-87.8701878,20.8566002,kuxeb,chemax,NA
2273,-87.84351181154248,20.895001281067394,mucel,chemax,2.5805914402008057
2274,-87.72859105160539,20.919678948837266,san juan chen,chemax,0.2644772231578827
2275,-87.78158988528834,20.94232856598389,san pedro chemax,chemax,0.4588247835636139
2276,-87.9152367474812,20.818929610985933,san roman,chemax,2.098665237426758
2277,-87.83824206955437,20.753657900276966,santa clara,chemax,0.7236577868461609
2278,-87.74585239921798,20.849502312204816,santa cruz,chemax,1.2178025245666504
2279,-88.00710385234456,20.680728903565427,kanto,chemax,6.650631904602051
2280,-88.0041504,20.7688857,uspibil,chemax,NA
2281,-88.00450319120675,20.67533771608815,xalau (x-alau),chemax,4.275286674499512
2282,-88.00051445022515,20.705389744345513,xalau (x-alau),chemax,0.6272543668746948
2283,-88.00551952871277,20.769284972049086,chechmil,chemax,4.2129645347595215
2284,-87.86580478156361,20.722388975915873,pabalam,chemax,1.7025655508041382
2285,-87.9238695,20.5021757,lol-be,chemax,NA
2286,-87.70899346868391,20.78905549790231,buenavista,chemax,0.24635539948940277
2287,-87.62743378910737,20.97411715566302,la esperanza,chemax,0
2288,-87.96304933485125,20.570760967854056,konsahcab,chemax,2.0596446990966797
2289,-87.82517246708844,20.734249263284905,san jose chahuay,chemax,0.4049055874347687
2290,-87.6518307593292,20.910673839300532,xim-ha,chemax,0
2291,-87.93347635974199,20.668491408090368,hidalgo y cortez,chemax,3.0741193294525146
2292,-88.00732449348426,20.678641680432396,punta laguna,chemax,6.650631904602051
2293,-87.82775688448692,20.73451651265203,hoteoch,chemax,0.9459387063980103
2294,-87.93737445397883,20.550807279799635,felipe carrillo puerto,chemax,1.8502869606018066
2295,-87.73403867322018,20.80268192030208,estrella,chemax,0.21444115042686462
2296,-87.9540146560585,20.802564168024013,guadalupe,chemax,0.3678283989429474
2297,-87.86758018508716,20.714371456262292,x-catzin (catzin),chemax,2.6191282272338867
2298,-87.75281886271547,20.79162186788261,cocoyol,chemax,1.3706471920013428
2299,-87.75220998334694,20.791668036354068,cholul,chemax,1.3706471920013428
2300,-87.96209666612651,20.571575035452604,chulutan,chemax,2.0596446990966797
2301,-87.87133036437642,20.85320580262867,kuxeb,chemax,2.088867664337158
2302,-87.8363853061845,20.89238094736032,mucel,chemax,2.3187015056610107
2303,-87.73042329114087,20.961799156927512,san juan chen,chemax,0.2630854547023773
2304,-87.79323646460466,20.94279545209523,san pedro chemax,chemax,0.9631807208061218
2305,-87.92176927290116,20.824899581366623,san roman,chemax,3.974639654159546
2306,-87.92701391524143,20.819480862485495,sisbichen,chemax,3.469609260559082
2307,-88.00353893982495,20.772124288899768,uspibil,chemax,4.2129645347595215
2308,-88.01045013952367,20.665883576655787,xalau (x-alau),chemax,0.4074549674987793
2309,-87.6728580925689,20.84794771786358,x-can,chemax,4.399146556854248
2310,-87.66682563127291,20.867183535855045,x-can,chemax,1.9320533275604248
2311,-87.96351972929159,20.773605052040836,chechmil,chemax,1.7143182754516602
2312,-87.86631383001094,20.716018155800747,pabalam,chemax,4.216191291809082
2313,-87.91551738364505,20.503560436122353,lol-be,chemax,0.19167795777320862
2314,-87.65782311482927,20.976904541162707,la esperanza,chemax,0
2315,-87.79686840483683,20.776982901334204,san jose chahuay,chemax,1.2936285734176636
2316,-87.79734548712592,20.769397488317164,hidalgo y cortez,chemax,0.8426201939582825
2317,-87.65759653815543,20.850400439576145,punta laguna,chemax,0.3552318513393402
